,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
1307,BCOR,16.77,2020-02-28,7333588.08,BCOR,16.57,2021-03-01,5800444.49
1308,BCOR,17.08,2021-02-26,6905307.359999999,BCOR,19.05,2022-02-28,6660775.350000001
1309,BCOR,19.34,2022-02-25,7727180.96,BCOR,,,
1310,BCPC,75.6,2018-03-01,6999652.8,BCPC,89.62,2019-03-01,14781743.56
1311,BCPC,88.91,2019-02-28,19401140.009999998,BCPC,91.79,2020-02-28,15200607.580000002
1312,BCPC,112.96,2020-02-21,19564672.0,BCPC,120.36,2021-02-22,23308797.24
1313,BCPC,109.88,2021-02-19,12570052.24,BCPC,139.38,2022-02-22,18943553.939999998
1314,BCPC,135.49,2022-02-24,13622164.600000001,BCPC,,,
1315,BDC,69.03,2018-02-13,40787134.83,BDC,57.1,2019-02-13,27356952.6
1316,BDC,56.93,2019-02-20,149238294.55,BDC,48.7,2020-02-20,11832541.600000001
1317,BDC,51.17,2020-02-11,14963950.120000001,BDC,53.22,2021-02-10,24833676.06
1318,BDC,45.84,2021-02-16,23067467.28,BDC,57.0,2022-02-16,22469058.0
1319,BDC,56.66,2022-02-15,37443930.98,BDC,,,
1320,BDSX,,,,BDSX,22.34,2021-03-11,1726502.22
1321,BDSX,23.56,2021-02-10,1541036.0399999998,BDSX,3.36,2022-02-10,331416.95999999996
1322,BDSX,2.23,2022-03-14,194221.85,BDSX,,,
1323,BDX,220.71,2017-11-22,262709788.74,BDX,234.93,2018-11-23,86068719.87
1324,BDX,235.25,2018-11-21,240728972.5,BDX,241.08,2019-11-21,249404974.56
1325,BDX,249.0,2019-11-27,369159930.0,BDX,222.73,2020-11-27,193854614.60999998
1326,BDX,224.86,2020-11-25,375254238.1,BDX,239.05,2021-11-26,300668723.25
1327,BDX,240.26,2021-11-24,224500625.82,BDX,,,
1328,BE,,,,BE,13.34,2019-03-11,20068055.68
1329,BE,12.55,2019-03-22,18342941.95,BE,4.1,2020-03-23,10431691.5
1330,BE,5.19,2020-03-31,11187356.4,BE,26.6,2021-03-31,111658793.4
1331,BE,27.51,2021-02-26,120924028.89,BE,21.53,2022-02-28,208054552.16
1332,BE,19.81,2022-02-25,83190946.02,BE,,,
1333,BEAM,,,,BEAM,18.0,2020-03-30,1911240.0
1334,BEAM,21.37,2020-02-10,15543704.57,BEAM,120.29,2021-02-09,99244542.76
1335,BEAM,98.26,2021-03-15,74360220.2,BEAM,55.01,2022-03-15,41103031.92
1336,BEAM,73.85,2022-02-28,82449906.35,BEAM,,,
1337,BEBE,5.24,2017-08-14,51687.36,BEBE,7.04,2018-08-13,77.44
1338,BEN,40.8,2017-11-13,73325800.8,BEN,31.06,2018-11-13,100492083.08
1339,BEN,31.27,2018-11-09,131410861.66,BEN,28.1,2019-11-11,72254007.7
1340,BEN,27.94,2019-11-12,74454037.02000001,BEN,20.88,2020-11-11,89304866.64
1341,BEN,20.64,2020-11-23,61787511.84,BEN,34.68,2021-11-23,64407279.839999996
1342,BEN,33.53,2021-11-01,259220631.18,BEN,,,
1343,BEP,36.22,2022-03-01,19634065.16,BEP,,,
1344,BERY,59.62,2017-11-21,78581425.56,BERY,49.41,2018-11-21,81225988.38
1345,BERY,49.98,2018-11-16,98717297.28,BERY,41.24,2019-11-18,28258967.68
1346,BERY,46.56,2019-11-22,117663126.24000001,BERY,54.27,2020-11-23,51499570.77
1347,BERY,54.27,2020-11-23,51499570.77,BERY,66.64,2021-11-23,34690451.6
1348,BERY,65.93,2021-11-18,198258696.37000003,BERY,,,
1349,BF-A,40.56,2017-06-15,1093254.24,BF-A,51.2,2018-06-15,3605248.0
1350,BF-A,52.05,2018-06-13,2923648.5,BF-A,56.94,2019-06-13,656461.26
1351,BF-A,56.94,2019-06-13,656461.26,BF-A,59.94,2020-06-12,2335022.64
1352,BF-A,58.01,2020-06-22,4300629.359999999,BF-A,70.58,2021-06-22,7559541.4799999995
1353,BF-A,69.2,2021-06-21,2418055.6,BF-A,,,
1354,BFAM,96.27,2018-02-28,15424379.399999999,BFAM,123.2,2019-02-28,26622288.0
1355,BFAM,122.1,2019-02-27,21723787.8,BFAM,161.45,2020-02-27,116457436.89999999
1356,BFAM,161.45,2020-02-27,116457436.89999999,BFAM,160.16,2021-02-26,48571723.199999996
1357,BFAM,161.94,2021-03-01,41919464.519999996,BFAM,130.8,2022-03-01,32889398.400000002
1358,BFAM,129.22,2022-02-25,56308777.98,BFAM,,,
1359,BFLY,23.45,2021-02-09,64596472.15,BFLY,6.02,2022-02-09,7885266.899999999
1360,BFLY,5.66,2022-02-28,33927387.08,BFLY,,,
1361,BFS,54.06,2018-02-02,2459621.88,BFS,52.32,2019-02-04,2966282.4
1362,BFS,57.1,2019-02-26,930558.7000000001,BFS,48.02,2020-02-26,2309810.02
1363,BFS,46.9,2020-02-27,4181275.6999999997,BFS,36.68,2021-02-26,3128987.4
1364,BFS,38.52,2021-02-25,1780432.9200000002,BFS,46.35,2022-02-25,1256826.6
1365,BFS,45.01,2022-02-24,1203882.47,BFS,,,
1366,BG,75.7,2018-02-23,63879066.5,BG,52.0,2019-02-25,164683480.0
1367,BG,53.11,2019-02-22,167163778.10999998,BG,52.75,2020-02-24,63933052.75
1368,BG,53.63,2020-02-21,31087755.73,BG,76.33,2021-02-22,156863493.1
1369,BG,75.01,2021-02-19,106584334.35000001,BG,98.99,2022-02-22,96482484.31
1370,BG,97.86,2022-02-24,219457019.46,BG,,,
1371,BGCP,8.53,2018-02-22,56045836.13999999,BGCP,6.21,2019-02-22,12781453.05
1372,BGCP,6.18,2019-03-01,11421122.04,BGCP,4.67,2020-03-02,12147879.53
1373,BGCP,4.63,2020-02-28,18359556.61,BGCP,4.55,2021-03-01,18095158.9
1374,BGCP,4.55,2021-03-01,18095158.9,BGCP,4.58,2022-03-01,9901378.34
1375,BGCP,4.61,2022-02-28,10038376.42,BGCP,,,
1376,BGFV,5.6,2018-02-28,7778898.399999999,BGFV,3.94,2019-02-28,1438848.6
1377,BGFV,4.78,2019-02-27,4494634.0,BGFV,2.26,2020-02-27,481158.51999999996
1378,BGFV,2.57,2020-02-26,2023600.0099999998,BGFV,14.78,2021-02-25,12339762.879999999
1379,BGFV,15.27,2021-03-03,33263893.14,BGFV,16.7,2022-03-03,18066427.4
